arrival_pool_row_id,relative_hour,timestamp_utc,source_window,empirical_regime_label,liquidatable_vault_count,liquidatable_share,bark_count,grab_count,activity_indicator,positive_count_eligible,sequence_id
237,236,2022-05-14T20:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
238,237,2022-05-14T21:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
239,238,2022-05-14T22:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
240,239,2022-05-14T23:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
241,240,2022-05-15T00:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
242,241,2022-05-15T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
243,242,2022-05-15T02:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
244,243,2022-05-15T03:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
245,244,2022-05-15T04:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
246,245,2022-05-15T05:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
247,246,2022-05-15T06:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
248,247,2022-05-15T07:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
249,248,2022-05-15T08:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
250,249,2022-05-15T09:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
251,250,2022-05-15T10:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
252,251,2022-05-15T11:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
253,252,2022-05-15T12:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
254,253,2022-05-15T13:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
255,254,2022-05-15T14:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
256,255,2022-05-15T15:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
257,256,2022-05-15T16:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
258,257,2022-05-15T17:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
259,258,2022-05-15T18:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
260,259,2022-05-15T19:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
261,260,2022-05-15T20:00:00+0000,terra_cefi,terra_cefi,0,0.0,1,1,1,1,
262,261,2022-05-15T21:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
263,262,2022-05-15T22:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
264,263,2022-05-15T23:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
265,264,2022-05-16T00:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
266,265,2022-05-16T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
267,266,2022-05-16T02:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
